"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=Mytilidae,%20Lucinidae,%20Pectinidae,%20Pholadomyidae,%20Veneridae&taxon_reso=species&idqual=certain&max_ma=251.9&min_ma=0&show=class,classext,refattr,acconly"
"Access Time","Thu 2020-01-16 18:06:21 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Mytilidae, Lucinidae, Pectinidae, Pholadomyidae, Veneridae"
"","idreso","species"
"","idqual","certain"
"","min_ma","0"
"","max_ma","251.9"
"","timerule","major"
"","taxon_status","all"
"","show","class,classext,refattr,acconly"
"Elapsed Time","0.786"
"Records Found","16488"
"Records Returned","16488"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","ref_author","ref_pubyr","reference_no","phylum","phylum_no","class","class_no","order","order_no","family","family_no","genus","genus_no","subgenus_no"
"14492","occ","","","1277","Goniomya literata","species","316908","Tithonian","","152.1","145","Fürsich and Pandey","1999","37","Mollusca","7805","Bivalvia","16005","Pholadomyida","18688","Pholadomyidae","61725","Goniomya","18744",""
"14499","occ","","","1282","Homomya hamatoides","species","60673","Lutetian","Priabonian","47.8","33.9","Elder","1981","39","Mollusca","7805","Bivalvia","16005","Pholadomyida","18688","Pholadomyidae","61725","Homomya","18750",""
"14501","occ","","","1282","Eburneopecten scintillatus","species","60186","Lutetian","Priabonian","47.8","33.9","Elder","1981","39","Mollusca","7805","Bivalvia","16005","Pectinida","81178","Pectinidae","61660","Eburneopecten","16620",""
"14502","occ","","","1282","Myrtaea (Myrtaea) curta","species","160638","Lutetian","Priabonian","47.8","33.9","Elder","1981","39","Mollusca","7805","Bivalvia","16005","Lucinida","161489","Lucinidae","60971","Myrtea (Myrtea)","17946","109746"
"14503","occ","","","1282","Lucina subcurta","species","60969","Lutetian","Priabonian","47.8","33.9","Elder","1981","39","Mollusca","7805","Bivalvia","16005","Lucinida","161489","Lucinidae","60971","Lucina","17835",""
"14509","occ","","","1282","Callista annexa","species","59481","Lutetian","Priabonian","47.8","33.9","Elder","1981","39","Mollusca","7805","Bivalvia","16005","Veneroidei","17297","Veneridae","62779","Callista","17423",""
"14510","occ","","","1282","Pitar securiformis","species","61779","Lutetian","Priabonian","47.8","33.9","Elder","1981","39","Mollusca","7805","Bivalvia","16005","Veneroidei","17297","Veneridae","62779","Pitar","18075",""
"14533","occ","","","1283","Homomya hamatoides","species","60673","Lutetian","Priabonian","47.8","33.9","Elder","1981","39","Mollusca","7805","Bivalvia","16005","Pholadomyida","18688","Pholadomyidae","61725","Homomya","18750",""
"14535","occ","","","1283","Eburneopecten scintillatus","species","60186","Lutetian","Priabonian","47.8","33.9","Elder","1981","39","Mollusca","7805","Bivalvia","16005","Pectinida","81178","Pectinidae","61660","Eburneopecten","16620",""
"14536","occ","","","1283","Myrtaea (Myrtaea) curta","species","160638","Lutetian","Priabonian","47.8","33.9","Elder","1981","39","Mollusca","7805","Bivalvia","16005","Lucinida","161489","Lucinidae","60971","Myrtea (Myrtea)","17946","109746"
"14537","occ","","","1283","Lucina subcurta","species","60969","Lutetian","Priabonian","47.8","33.9","Elder","1981","39","Mollusca","7805","Bivalvia","16005","Lucinida","161489","Lucinidae","60971","Lucina","17835",""
"14546","occ","","","1283","Callista annexa","species","59481","Lutetian","Priabonian","47.8","33.9","Elder","1981","39","Mollusca","7805","Bivalvia","16005","Veneroidei","17297","Veneridae","62779","Callista","17423",""
